first_sentence,second_sentence,score,dot_score,cos_score,eucl_score,score_type,score_name
can not share audio via bluetooth,good for on-line presentation,0,6.802824020385742,0.3721642792224884,4.9407406,binary,is_reason
Google sign-in does not work!,hard to use video,0,6.613896369934082,0.3977199196815491,4.560156,binary,is_reason
the best platform to communicate in a pandemic,good for communication,1,10.410511016845703,0.5634585022926331,4.1319823,binary,is_reason
it will not open on my telephone!,app is bad for work,0,7.053110122680664,0.3518626391887665,5.239438,binary,is_reason
this app is very expensive to learn study online classes,app is expensive for online classes,1,14.896100044250488,0.9234123229980469,1.6153882,binary,is_reason
I am not able to sign up for hulu,unable to sign up for hulu,1,13.780794143676758,0.9494897127151489,1.2234613,binary,is_reason
now it does not work on oneplus,unable to use subtitle on chromecast,0,8.507347106933594,0.4410049617290497,5.19599,binary,is_reason
because i can not skip class,unable to connect to airplay,0,2.489497184753418,0.12669385969638824,5.8828955,binary,is_reason
you can not change your mic setting while drawing on someone else's,want to change mic setting while drawing,1,10.285953521728516,0.9474412798881531,1.0687914,binary,is_reason
too dangerous for my children.,bad app for children,1,13.69664478302002,0.659339964389801,3.9128044,binary,is_reason
i can not meet my friend,app is slow and clang patronizely,0,-0.8924306631088257,-0.04914882779121399,6.2290587,binary,is_reason
"erstwhiles the app will clang, but i just restart my telephone.",want to change setting,0,3.163771152496338,0.21387580037117004,4.9008265,binary,is_reason
some features are missing,features are missing,1,21.47960090637207,0.9999999403953552,0.0,binary,is_reason
i forget my password and try to set new password via electronic_mail,have to reinstall the app to make the app work,0,7.1772050857543945,0.4920266270637512,3.8507514,binary,is_reason
"the whole point of download is to watch offline, but the app wants you to be connect.",upapproach meeting are not in sync,0,5.437124252319336,0.363799512386322,4.457463,binary,is_reason
love this app i can always get on rapid_climb with my friend or family,background voice issue,0,6.967469215393066,0.38060203194618225,4.778005,binary,is_reason
will not connect to my outlook contact addresses which is a pain.,want to connect to outlook email,1,10.049901008605957,0.7810856103897095,2.4140098,binary,is_reason
it is rather annoyance because when you want to attend a meeting it just comes up that the app need updating.,want to hear audio without headteletelephone,0,8.702177047729492,0.6179410815238953,3.5889263,binary,is_reason
