first_sentence,second_sentence,score,dot_score,cos_score,eucl_score,score_type,score_name
"I stuck a pin through a carrot. When I pulled the pin out, it had a hole.",The carrot had a hole.,1,14.614618301391602,0.7284960150718689,3.4542332,binary,is_entailment
John couldn't see the stage with Billy in front of him because he is so short.,John is so short.,1,16.455963134765625,0.8436453342437744,2.6074104,binary,is_entailment
The police arrested all of the gang members. They were trying to stop the drug trade in the neighborhood.,The police were trying to stop the drug trade in the neighborhood.,1,16.864646911621094,0.9480737447738647,1.3672366,binary,is_entailment
Steve follows Fred's example in everything. He influences him hugely.,Steve influences him hugely.,0,9.931831359863281,0.85578453540802,1.9746352,binary,is_entailment
"When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her, undressing and climbing back into her berth.","mother was careful not to disturb her, undressing and climbing back into her berth.",0,6.329538345336914,0.8663139939308167,1.4068686,binary,is_entailment
"George got free tickets to the play, but he gave them to Eric, because he was particularly eager to see it.",George was particularly eager to see it.,0,9.706558227539062,0.7297831773757935,2.7308838,binary,is_entailment
John was jogging through the park when he saw a man juggling watermelons. He was very impressive.,John was very impressive.,0,8.40182113647461,0.6350817084312439,3.5788145,binary,is_entailment
I couldn't put the pot on the shelf because it was too tall.,The pot was too tall.,1,20.831459045410156,0.8760007619857788,2.6224535,binary,is_entailment
"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply not enough of them.",There were simply not enough copies of the newsletter.,1,8.544527053833008,0.7239440679550171,2.7745562,binary,is_entailment
At the Loebner competition the judges couldn't figure out which respondents were the chatbots because they were so advanced.,The judges were so advanced.,0,10.445457458496094,0.7130754590034485,3.2244666,binary,is_entailment
I took the water bottle out of the backpack so that it would be lighter.,I took the water bottle out of the backpack so that the backpack would be lighter.,1,15.270463943481445,0.9778207540512085,0.8325796,binary,is_entailment
The table won't fit through the doorway because it is too narrow.,The table is too narrow.,0,16.524433135986328,0.8758151531219482,2.4115846,binary,is_entailment
I took the water bottle out of the backpack so that it would be handy.,I took the water bottle out of the backpack so that the backpack would be handy.,0,14.121503829956055,0.9776164293289185,0.8080064,binary,is_entailment
The firemen arrived after the police because they were coming from so far away.,The police were coming from so far away.,0,15.196004867553711,0.9257349967956543,1.6361631,binary,is_entailment
"Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.",Dad could not help him now.,0,12.536588668823242,0.7800861597061157,2.8963943,binary,is_entailment
I poured water from the bottle into the cup until it was empty.,The cup was empty.,0,27.481590270996094,0.6652280688285828,6.3809648,binary,is_entailment
I put the cake away in the refrigerator. It has a lot of butter in it.,The cake has a lot of butter in it.,1,19.342927932739258,0.919450044631958,1.9940898,binary,is_entailment
"Lionel is holding captive a scientist, Dr. Vardi, who has invented a device that turns animals invisible; Lionel plans to use it on Geoffrey and send him to steal nuclear material from an army vault.",Lionel plans to use it on Geoffrey and send Lionel to steal nuclear material from an army vault.,0,6.177116870880127,0.8753632307052612,1.4484221,binary,is_entailment
The foxes are getting in at night and attacking the chickens. They have gotten very bold.,The foxes have gotten very bold.,1,9.575101852416992,0.7973638772964478,2.256579,binary,is_entailment
"Sam pulled up a chair to the piano, but it was broken, so he had to stand instead.","The piano was broken, so he had to stand instead.",0,10.893959045410156,0.8896291255950928,1.7154989,binary,is_entailment
Jane knocked on Susan's door but she did not get an answer.,Susan did not get an answer.,0,9.230716705322266,0.5947179198265076,3.6242921,binary,is_entailment
"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have won.",Adam would have won.,0,10.875377655029297,0.5303411483764648,5.2266965,binary,is_entailment
I put the butterfly wing on the table and it broke.,The table broke.,0,14.191547393798828,0.736427903175354,3.2664752,binary,is_entailment
"Paul tried to call George on the phone, but he wasn't successful.",Paul wasn't successful.,1,13.445409774780273,0.7752761244773865,2.9287071,binary,is_entailment
Look! There is a shark swimming right below that duck! It had better get away to safety fast!,The shark had better get away to safety fast!,0,12.974108695983887,0.9192543029785156,1.5542723,binary,is_entailment
The trophy doesn't fit into the brown suitcase because it is too large.,The suitcase is too large.,0,12.34867000579834,0.7286041378974915,3.241481,binary,is_entailment
"Joe's uncle can still beat him at tennis, even though he is 30 years older.",Joe is 30 years older.,0,12.217206954956055,0.8173452019691467,2.3540351,binary,is_entailment
The large ball crashed right through the table because it was made of steel.,The large ball was made of steel.,1,15.58724594116211,0.8703919649124146,2.3033078,binary,is_entailment
Sam broke both his ankles and he's walking with crutches. But a month or so from now they should be better.,The crutches should be better.,0,10.599081039428711,0.7449475526809692,2.9991004,binary,is_entailment
"Grant worked hard to harvest his beans so he and his family would have enough to eat that winter, His friend Henry let him stack them in his barn where they would dry. Later, he and Tatyana would shell them and cook them for their Sunday dinners.",His friend Henry let him stack Grant and his family in his barn where they would dry.,0,7.249881744384766,0.8441593050956726,1.6876376,binary,is_entailment
"Jane knocked on the door, and Susan answered it. She invited her to come out.",Jane invited her to come out.,1,9.467472076416016,0.7979341149330139,2.2722917,binary,is_entailment
Dan had to stop Bill from toying with the injured bird. He is very cruel.,Bill is very cruel.,1,11.3792085647583,0.5208758115768433,5.995838,binary,is_entailment
"Tom said ""Check"" to Ralph as he took his bishop.","Tom said ""Check"" to Ralph as he took Ralph's bishop.",1,12.060126304626465,1.0000001192092896,0.0,binary,is_entailment
"I sallied out for a bit of food, more to pass the time than because I wanted it.","I sallied out for a bit of food, more to pass the time than because I wanted food.",1,10.504993438720703,0.9718737006187439,0.81508034,binary,is_entailment
Joe paid the detective after he received the final report on the case.,Joe received the final report on the case.,1,12.877066612243652,0.9420304298400879,1.2959296,binary,is_entailment
"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply too many of them.",There were simply too many copies of the newsletter.,0,8.544527053833008,0.7239440679550171,2.7745562,binary,is_entailment
Joe has sold his house and bought a new one a few miles away. He will be moving into it on Thursday.,He will be moving into The new house on Thursday.,1,13.679052352905273,0.8598536252975464,2.234792,binary,is_entailment
"Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.",He could not help Dad now.,1,12.536588668823242,0.7800861597061157,2.8963943,binary,is_entailment
"The table was piled high with food, and on the floor beside it there were crocks, baskets, and a five-quart pail of milk.","Beside the table there were crocks, baskets, and a five-quart pail of milk.",1,10.436614036560059,0.8585370182991028,1.8959955,binary,is_entailment
